% 1. Author Information
%   How can we tell the greatness of a movie before it is released in cinema?
%
%   This question puzzled me for many years. There seems to [be] no universal way
%   to claim the quality of a new movie. Many people rely on critics to gauge its
%   quality, while others use their instincts after watching trailers or seeing
%   the poster in the subway. However, it takes time to obtain a reasonable
%   amount of critics reviews after a movie is released, and human instinct
%   sometimes is unreliable.
%
%   Is there a better way for us to tell the quality of movies without relying
%   on critics or our own instincts?
%
%   To answer this question, I scraped 5000+ movies from IMDB website using a
%   Python library called "scrapy".
%
%   The scraping process took 2 hours to finish. In the end, I was able to obtain
%   all needed 28 variables for 5043 movies and 4906 posters (998MB), spanning
%   across 100 years in 66 countries. There are 2399 unique director names, and
%   thousands of actors/actresses. Below are the 28 variables:
%
%   "movie_title" "color" "num_critic_for_reviews" "movie_facebook_likes"
%   "duration" "director_name" "director_facebook_likes" "actor_3_name"
%   "actor_3_facebook_likes" "actor_2_name" "actor_2_facebook_likes"
%   "actor_1_name" "actor_1_facebook_likes" "gross" "genres" "num_voted_users"
%   "cast_total_facebook_likes" "facenumber_in_poster" "plot_keywords"
%   "movie_imdb_link" "num_user_for_reviews" "language" "country" "content_rating"
%   "budget" "title_year" "imdb_score" "aspect_ratio"
%
% 2. Additional Info
%   We divided the imdb score into five categories:
%     1-3:  very bad
%     3-5:  bad
%     5-7:  okay
%     7-8:  good
%     8-10: very good

@relation movie-quality

@attribute color                     {Color, BnW}
@attribute director_name             string
@attribute num_critic_for_reviews    numeric
@attribute duration                  numeric
@attribute director_facebook_likes   numeric
@attribute actor_3_facebook_likes    numeric
@attribute actor_2_name              string
@attribute actor_1_facebook_likes    numeric
@attribute gross                     numeric
@attribute genres                    string
@attribute actor_1_name              string
@attribute movie_title               string
@attribute num_voted_users           numeric
@attribute cast_total_facebook_likes numeric
@attribute actor_3_name              string
@attribute facenumber_in_poster      numeric
@attribute plot_keywords             string
@attribute movie_imdb_link           string
@attribute num_user_for_reviews      numeric
@attribute language                  string
@attribute country                   string
@attribute content_rating            string
@attribute budget                    numeric
@attribute title_year                numeric
@attribute actor_2_facebook_likes    numeric
@attribute imdb_score                numeric
@attribute aspect_ratio              numeric
@attribute movie_facebook_likes      numeric
@attribute quality		             {very-bad,bad,okay,good,very-good}

@data
Color,Nicole-Holofcener,18,86,132,584,Anne-Heche,778,1277257,Comedy|Drama|Romance,Kevin-Corrigan,Walking-and-Talking-,2629,2400,Vincent-Pastore,2,briefs|cancer|cat|cult-film|friend,http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1,32,English,UK,R,1000000,1996,695,6.8,1.85,227,okay
Color,Peter-Cattaneo,122,91,11,121,Mark-Addy,1000,45857453,Comedy|Drama|Music,Tom-Wilkinson,The-Full-Monty-,82232,2323,Lesley-Sharp,3,dole|male-stripper|northern-england|steel-worker|unemployment,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,174,English,UK,R,3500000,1997,891,7.2,1.85,0,good
Color,Chris-Paine,87,92,2,5,Phyllis-Diller,783,1677838,Documentary,Ed-Begley-Jr.,Who-Killed-the-Electric-Car?-,11283,1447,Colette-Divine,0,california|car|reference-to-ralph-nader|technology|u.s.-president,http://www.imdb.com/title/tt0489037/?ref_=fn_tt_tt_1,155,English,USA,PG,1000000,2006,659,7.7,1.75,0,good
Color,Greg-Berlanti,51,94,112,428,Nia-Long,1000,1744858,Comedy|Drama|Romance|Sport,Justin-Theroux,The-Broken-Hearts-Club:-A-Romantic-Comedy-,6084,3085,Mary-McCormack,1,friend|gay|lesbian|photographer|restaurant,http://www.imdb.com/title/tt0222850/?ref_=fn_tt_tt_1,120,English,USA,R,1000000,2000,826,7.0,2.35,671,good
Color,Don-Coscarelli,260,92,152,124,Ossie-Davis,1000,?,Comedy|Fantasy|Mystery,Daniel-Roebuck,Bubba-Ho-Tep-,38893,1587,Ella-Joyce,2,cult-film|elvis|elvis-presley|nursing-home|texas,http://www.imdb.com/title/tt0281686/?ref_=fn_tt_tt_1,366,English,USA,R,1000000,2002,282,7.2,1.85,0,good
Color,Rob-Letterman,218,103,11,543,Dylan-Minnette,2000,80021740,Adventure|Comedy|Family|Fantasy|Horror,Odeya-Rush,Goosebumps-,47988,5497,Ken-Marino,4,based-on-book|blob|ferris-wheel|manuscript|monster,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,154,English,USA,PG,58000000,2015,1000,6.4,2.35,35000,okay
Color,Marc-Levin,16,100,12,6,Saul-Williams,245,982214,Drama,Sonja-Sohn,Slam-,1976,295,Bonz-Malone,0,gang|independent-film|prison|racial-slur|urban-setting,http://www.imdb.com/title/tt0139615/?ref_=fn_tt_tt_1,51,English,USA,R,1000000,1998,38,7.2,1.85,603,good
Color,Richard-Dutcher,12,119,13,25,Frank-Gerrish,957,798341,Crime|Drama|Mystery,Wilford-Brimley,Brigham-City-,983,1107,Rick-Macy,0,fbi-agent|mormon|prayer|sheriff|utah,http://www.imdb.com/title/tt0268200/?ref_=fn_tt_tt_1,63,English,USA,PG-13,1000000,2001,81,7.2,1.85,100,good
BnW,Khalid-Mohamed,1,167,10,97,Manoj-Bajpayee,353,610991,Drama|Romance,Karisma-Kapoor,Fiza-,2715,773,Jaya-Bhaduri,3,mumbai-riots|politician|riot|suicide|tragic-event,http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1,19,Hindi,India,?,1000000,2000,186,6.2,2.35,92,okay
Color,Mel-Brooks,48,92,0,842,Sid-Caesar,1000,?,Comedy,Madeline-Kahn,History-of-the-World:-Part-I-,36559,3931,Dom-DeLuise,0,french-revolution|old-testament|part-of-an-unfinished-series|reference-to-john-wayne|roman-emperor,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,131,English,USA,R,11000000,1981,898,6.9,2.35,0,okay
Color,Trey-Parker,59,92,406,194,Dian-Bachar,406,582024,Comedy|Sci-Fi,Trey-Parker,Orgazmo-,30396,904,Matt-Stone,0,book-of-mormon|fight|mormon|ray-gun|sidekick,http://www.imdb.com/title/tt0124819/?ref_=fn_tt_tt_1,168,English,USA,NC-17,1000000,1997,203,6.2,1.85,0,okay
Color,David-Gordon-Green,88,108,234,463,Paul-Schneider,11000,548712,Drama|Romance,Zooey-Deschanel,All-the-Real-Girls-,9233,12385,Shea-Whigham,0,best-friend|lake|love|small-town|womanizer,http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1,126,English,USA,R,2500000,2003,552,6.9,2.35,571,okay
Color,Finn-Taylor,28,97,4,301,Cathy-Moriarty,611,464655,Comedy|Drama,David-Arquette,Dream-with-the-Fishes-,1524,1692,Kathryn-Erbe,0,dying|to-do-list|twenty-something|underwear|voyeur,http://www.imdb.com/title/tt0119019/?ref_=fn_tt_tt_1,29,English,USA,R,1000000,1997,394,7.0,1.85,166,good
Color,Karen-Moncrieff,44,88,22,275,Agnes-Bruckner,638,464126,Drama,Frances-Fisher,Blue-Car-,3142,1641,A.J.-Buckley,0,contest|poetry|refusing-to-eat|starving-oneself|teenage-girl,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,68,English,USA,R,1000000,2002,400,6.7,1.85,115,okay
Color,José-Luis-Valenzuela,13,100,0,268,Lupe-Ontiveros,844,428535,Comedy|Romance,Cheech-Marin,Luminarias-,505,2289,Robert-Beltran,1,divorce|friend|jewish|lent|restaurant,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,32,English,USA,R,1000000,2000,625,3.6,?,24,bad
Color,Gia-Coppola,117,100,71,145,Nat-Wolff,11000,750100,Drama,James-Franco,Palo-Alto-,19752,12234,Olivia-Crocicchia,0,girls-soccer|high-school|high-school-student|soccer-coach|teenager,http://www.imdb.com/title/tt2479800/?ref_=fn_tt_tt_1,61,English,USA,R,?,2013,733,6.3,1.85,0,okay
Color,Scandar-Copti,100,124,13,7,Scandar-Copti,20,621240,Crime|Drama,Shahir-Kabaha,Ajami-,4999,42,Ranin-Karim,6,arab|christian|israeli|palestinian|violence,http://www.imdb.com/title/tt1077262/?ref_=fn_tt_tt_1,32,Arabic,Germany,?,?,2009,13,7.4,1.85,0,good
Color,Goran-Dukic,117,88,21,772,Patrick-Fugit,1000,104077,Comedy|Drama|Fantasy|Romance,Leslie-Bibb,Wristcutters:-A-Love-Story-,46076,4720,Chase-Ellison,2,afterlife|camping|death|hitchhiker|suicide,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,88,English,USA,R,1000000,2006,835,7.4,1.78,11000,good
Color,Mike-Cahill,140,106,135,11,Cara-Seymour,7000,334658,Drama|Romance|Sci-Fi,Steven-Yeun,I-Origins-,75633,7098,Venida-Evans,0,buddhism|evolution|eye|reincarnation|stuck-in-elevator,http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1,160,English,USA,R,?,2014,71,7.3,2.39,32000,good
Color,Efram-Potelle,29,79,2,551,Elden-Henson,855,279282,Comedy|Drama|Romance,Shiri-Appleby,The-Battle-of-Shaker-Heights-,3806,2489,Kathleen-Quinlan,2,bully-comeuppance|high-school|painter|reference-to-led-zeppelin|wetting-pants,http://www.imdb.com/title/tt0357470/?ref_=fn_tt_tt_1,49,English,USA,PG-13,1000000,2003,577,6.1,1.85,150,okay
Color,Peter-Jackson,308,135,0,310,AJ-Michalka,873,43982842,Drama|Fantasy|Thriller,Michael-Imperioli,The-Lovely-Bones-,125114,2369,Tom-McCarthy,1,1970s|afterlife|heaven|pedophile|rape,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,593,English,USA,PG-13,65000000,2009,559,6.7,2.35,16000,okay
Color,Joshua-Oppenheimer,248,96,50,0,Herman-Koto,3,484221,Biography|Crime|Documentary|History,Anwar-Congo,The-Act-of-Killing-,23836,6,Syamsul-Arifin,1,death-squad|mass-killing|musical-number|reference-to-guantanamo-bay|surrealism,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,107,Indonesian,UK,Not-Rated,1000000,2012,3,8.2,1.85,20000,very-good
Color,Alex-Gibney,84,53,141,23,George-W.-Bush,141,274661,Crime|Documentary|War,Alex-Gibney,Taxi-to-the-Dark-Side-,10564,313,Greg-DAgostino,0,afghanistan|detainee|guantanamo-bay|taxi|torture,http://www.imdb.com/title/tt0854678/?ref_=fn_tt_tt_1,40,English,USA,R,1000000,2007,125,7.7,1.85,0,good
Color,Paul-Crowder,40,97,10,5,Marv-Albert,102,144431,Documentary|Sport,Pelé,Once-in-a-Lifetime:-The-Extraordinary-Story-of-the-New-York-Cosmos-,1290,118,Ahmet-Ertegun,0,new-york|new-york-cosmos|professional-sports|soccer|soccer-team,http://www.imdb.com/title/tt0489247/?ref_=fn_tt_tt_1,13,English,UK,PG-13,1000000,2006,7,7.3,1.85,587,good
Color,Rohit-Jagessar,?,120,0,0,Rufus-Graham,12,227241,Drama,Kumar-Gaurav,Guiana-1838-,56,15,Aasheekaa-Bathija,0,bare-chested-male|discipline|imperialism|whipping|white-slavery,http://www.imdb.com/title/tt0428609/?ref_=fn_tt_tt_1,2,English,USA,Unrated,?,2004,3,7.4,?,32,good
Color,Griffin-Dunne,13,90,165,679,Fisher-Stevens,978,112521,Comedy|Drama,Mira-Sorvino,Lisa-Picard-Is-Famous-,455,3258,Melissa-Gilbert,1,actress|fame|inside-joke|new-york|one-man-show,http://www.imdb.com/title/tt0233699/?ref_=fn_tt_tt_1,16,English,USA,PG-13,?,2000,922,5.7,?,25,okay
Color,Anthony-Powell,31,91,9,9,Tom-Hamann,53,287761,Adventure|Biography|Documentary|Drama,Josh-Swanson,Antarctica:-A-Year-on-Ice-,2482,86,Anthony-Powell,1,antarctica,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,16,English,New-Zealand,PG,1000000,2013,24,7.6,1.85,0,good
Color,Kief-Davidson,43,93,0,0,Brian-Whitaker,20,100240,Documentary,G.W.-Krauss,A-Lego-Brickumentary-,1220,28,Jason-Bateman,0,artist|denmark|lego|toy|toy-company,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,11,English,Denmark,G,1000000,2014,8,6.8,?,0,okay
Color,Johnny-Remo,2,112,74,891,Randy-Wayne,260000,96734,Action|Drama,Matthew-Ziff,Hardflip-,606,263584,Raquel-Elizabeth-Ames,3,family-relationships|loss-of-mother|san-diego-california|single-mother|suicide-attempt,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,5,English,USA,PG-13,1000000,2012,984,5.6,1.85,706,okay
Color,Vivek-Agnihotri,4,160,5,219,Anil-Kapoor,724,49000,Thriller,Emraan-Hashmi,Chocolate:-Deep-Dark-Secrets-,1524,2024,Sunil-Shetty,5,chocolate|christmas|christmas-eve|death|suspect,http://www.imdb.com/title/tt0454431/?ref_=fn_tt_tt_1,30,Hindi,India,?,1500000,2005,668,4.8,?,31,bad
Color,Ti-West,238,95,243,725,Greta-Gerwig,969,100659,Horror,Lena-Dunham,The-House-of-the-Devil-,30160,3833,Dee-Wallace,0,cult-film|eclipse|haunted-house|lunar-eclipse|secret,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,193,English,USA,R,900000,2009,962,6.4,1.85,0,okay
Color,Nick-Tomnay,112,93,11,271,Clayne-Crawford,443,48430,Comedy|Crime|Thriller,David-Hyde-Pierce,The-Perfect-Host-,20176,1452,Nathaniel-Parker,1,arm-tattoo|bank-robbery|cauterizing-a-wound|dancing-on-a-table|dinner-party,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,73,English,USA,R,500000,2010,298,6.8,1.85,0,okay
Color,John-Hamburg,33,88,29,117,Michael-Lerner,499,21210,Comedy|Crime,Harvey-Fierstein,Safe-Men-,2735,1141,Josh-Pais,0,gangster|organized-crime|robbery|rosh-hashanah|safecracking,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,52,English,USA,R,1000000,1998,230,6.1,1.85,157,okay
Color,Nickolas-Perry,8,105,5,73,Patsy-Kensit,590,?,Crime|Drama|Romance,Patrick-Renna,Speedway-Junky-,1434,1042,Adrienne-Frantz,2,car-racing|crush|hustler|scam|watching-television,http://www.imdb.com/title/tt0155197/?ref_=fn_tt_tt_1,43,English,USA,R,1000000,1999,231,5.2,?,27,okay
Color,Dan-Zukovic,95,98,8,14,Louis-Mustillo,96,22434,Comedy|Drama,Yul-Vazquez,The-Last-Big-Thing-,334,196,James-Lorinz,1,actor|magazine|model|rock-band|suburb,http://www.imdb.com/title/tt0161743/?ref_=fn_tt_tt_1,17,English,USA,R,?,1996,71,6.9,1.85,43,okay
Color,Craig-Mazin,29,82,82,490,James-Gunn,2000,12996,Action|Comedy|Fantasy|Sci-Fi,Judy-Greer,The-Specials-,1938,3905,Jamie-Kennedy,0,action-figure|press-conference|superhero|superhero-team|toy,http://www.imdb.com/title/tt0181836/?ref_=fn_tt_tt_1,54,English,USA,R,1000000,2000,571,6.0,1.85,210,okay
Color,Becky-Smith,3,89,32,256,Emily-Baldoni,386,?,Comedy|Romance,Will-Rothhaar,16-to-Life-,397,1647,Hallee-Hirsh,1,birthday|digit-in-title|love|masturbation|teenager,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,6,English,USA,?,1000000,2009,261,6.3,1.78,143,okay
BnW,Eric-Nicholas,71,78,0,61,Ana-Claudia-Talancón,262,10018,Crime|Drama|Thriller,Jordana-Spiro,Alone-with-Her-,3228,509,Jonathon-Trent,0,female-nudity|female-pubic-hair|masturbation|panties|pubic-hair,http://www.imdb.com/title/tt0472259/?ref_=fn_tt_tt_1,31,English,USA,Not-Rated,1000000,2006,163,6.1,1.85,244,okay
Color,Benjamin-Dickinson,36,97,4,150,Alexia-Rasmussen,446,62480,Drama|Sci-Fi,Nora-Zehetner,Creative-Control-,1048,928,Meredith-Hagner,1,art-exhibition|augmented-reality|cocaine|nervous-breakdown|speculative-fiction,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,7,English,USA,R,1000000,2015,171,5.5,2.39,793,okay
Color,Hal-Haberman,56,81,0,394,Paul-Blackthorne,975,6387,Comedy|Drama|Sci-Fi,Michael-Rapaport,Special-,4862,2694,Ian-Bohen,0,dream-sequence|locked-in-a-room|looking-at-self-in-mirror|medication|superhero,http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,37,English,USA,R,1000000,2006,645,6.9,1.85,0,okay
Color,Darren-Stein,8,90,18,422,Jamie-Kennedy,491,5494,Comedy|Drama,Frances-Bay,Sparkler-,377,2633,Veronica-Cartwright,3,automobile-association-of-america|cheating|psychic|reference-to-tom-jones-the-singer|trailer-park,http://www.imdb.com/title/tt0124137/?ref_=fn_tt_tt_1,13,English,USA,R,?,1997,490,5.6,?,17,okay
Color,A.-Raven-Cruz,3,97,0,94,Vanilla-Ice,639,?,Action|Adventure|Comedy|Fantasy|Sci-Fi,Scott-Levy,The-Helix...-Loaded-,534,1188,Jennifer-Sky,2,cnn-reporter|ellipsis-in-title|matrix|punctuation-in-title|secret-agent,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,9,English,USA,R,1000000,2005,361,1.9,1.78,128,very-bad
Color,Brian-Trenchard-Smith,8,88,53,176,Mariel-Hemingway,563,721,Action|Drama,David-Keith,In-Her-Line-of-Fire-,783,1284,Jesse-Hutch,2,camp|die-hard-scenario|female-protagonist|island|vice-president,http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1,12,English,Germany,R,1000000,2006,288,4.1,1.85,42,bad
Color,Frank-Whaley,9,96,436,4,Frank-Whaley,474,703,Comedy|Drama,Lynn-Cohen,The-Jimmy-Show-,480,920,Heather-Bucha,3,based-on-play|character-name-in-title,http://www.imdb.com/title/tt0271020/?ref_=fn_tt_tt_1,21,English,USA,R,1500000,2001,436,5.4,1.85,47,okay
Color,Amat-Escalante,87,105,50,8,Andrea-Vergara,327,?,Crime|Drama|Romance,Kenny-Johnston,Heli-,3499,351,Gabriel-Reyes,0,corrupt-police|drug-cartel|drugs|mexico|police,http://www.imdb.com/title/tt2852376/?ref_=fn_tt_tt_1,15,Spanish,Mexico,Not-Rated,1000000,2013,9,6.8,1.85,0,okay
Color,Wajahat-Rauf,6,?,3,4,Ayesha-Omar,7,?,Comedy|Family,Rasheed-Naz,Karachi-se-Lahore-,876,19,Javed-Sheikh,9,pakistan|road-trip,http://www.imdb.com/title/tt4590482/?ref_=fn_tt_tt_1,15,Urdu,Pakistan,?,1000000,2015,5,7.0,?,259,good
Color,Katherine-Brooks,14,76,57,228,Kevin-McCarthy,442,?,Drama|Romance,Ilene-Graff,Loving-Annabelle-,9190,1635,Laura-Breckenridge,0,older-woman-younger-woman-relationship|sex-with-student|teacher|teacher-student-relationship|title-directed-by-female,http://www.imdb.com/title/tt0323120/?ref_=fn_tt_tt_1,75,English,USA,Not-Rated,1000000,2006,403,6.7,1.85,501,okay
Color,David-Cross,20,96,0,396,Matt-Walsh,782,?,Comedy|Drama,Jason-Ritter,Hits-,1359,2607,Amy-Sedaris,1,courtroom|independent-film|internet|small-town|youtube,http://www.imdb.com/title/tt3145220/?ref_=fn_tt_tt_1,8,English,USA,?,1000000,2014,490,5.8,1.78,903,okay
Color,Randall-Rubin,23,99,0,131,A.J.-Buckley,363,?,Crime|Drama|Thriller,Nicole-Randall-Johnson,Jimmy-and-Judy-,1420,997,James-Eckhouse,2,police|revenge|sex|suburb|video-camera,http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1,26,English,USA,R,1000000,2006,275,6.2,?,138,okay
Color,Robert-Bennett,6,90,15,106,Lauren-C.-Mayhew,984,?,Comedy,Randy-Wayne,Frat-Party-,1612,1752,Alicia-Ziegler,4,erotica|masseuse|sister-sister-relationship|temptation|threesome,http://www.imdb.com/title/tt1414361/?ref_=fn_tt_tt_1,28,English,USA,R,1000000,2009,157,2.8,16.0,297,very-bad
BnW,Guy-Hamilton,12,94,82,47,Eddie-Albert,694,?,Drama,Oliver-Reed,The-Partys-Over-,340,964,Louise-Sorel,1,beatnik|businessman|necrophilia|party|partying,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,7,English,UK,?,?,1965,196,7.3,1.37,32,good
Color,Mary-Pat-Kelly,2,87,3,149,Ossie-Davis,767,?,Drama,Aidan-Quinn,Proud-,275,1593,Janet-Hubert,2,?,http://www.imdb.com/title/tt0393616/?ref_=fn_tt_tt_1,22,English,USA,PG,1000000,2004,282,5.8,?,141,okay
Color,Lori-Petty,12,93,923,904,Chloë-Grace-Moretz,34000,?,Drama,Jennifer-Lawrence,The-Poker-House-,3943,52113,Bokeem-Woodbine,3,basketball|drug-abuse|interracial-rape|iowa|tween-girl,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,24,English,USA,R,?,2008,17000,6.5,1.85,599,okay
Color,Charlie-Levi,?,90,0,171,Barbara-Hershey,1000,?,Drama,Joe-Mantegna,Childless-,33,1996,Diane-Venora,5,?,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,?,English,USA,R,1000000,2008,618,6.1,?,3,okay
Color,Kevin-Hamedani,64,89,23,23,Janette-Armand,199,?,Comedy|Horror|Sci-Fi,Russell-Hodgkinson,ZMD:-Zombies-of-Mass-Destruction-,3650,292,Kevin-Hamedani,0,cult|homosexual|island|survival-horror|zombie,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,39,English,USA,R,500000,2009,37,5.1,1.85,0,okay
Color,David-DeCoteau,7,83,142,317,Shanley-Caswell,458,?,Horror,Maureen-McCormick,Snow-White:-A-Deadly-Summer-,634,1549,Tim-Abell,1,reference-to-snow-white|sleeping-bag|stepmother-stepdaughter-relationship|strangulation|totem-pole,http://www.imdb.com/title/tt2149137/?ref_=fn_tt_tt_1,14,English,USA,PG-13,1000000,2012,383,2.2,1.78,150,very-bad
Color,Mikel-Rueda,9,96,0,0,Germán-Alcarazu,90,?,Drama|Romance,Álex-Angulo,Hidden-Away-,955,90,Joseba-Ugalde,0,best-friend|deportation|moroccan|unrequited-love|xenophobia,http://www.imdb.com/title/tt3289362/?ref_=fn_tt_tt_1,7,Spanish,Spain,Unrated,?,2014,0,7.2,2.35,68,good
Color,Stefan-C.-Schaefer,21,90,0,360,Marlene-Forte,898,?,Comedy|Drama|Romance,Nicole-Beharie,My-Last-Day-Without-You-,982,2116,Reg-E.-Cathey,1,business-trip|german|love|new-york|singer-songwriter,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,12,English,USA,?,1000000,2011,395,5.7,1.66,370,okay
Color,Michael-Taliferro,?,138,105,110,Sticky-Fingaz,592,?,Comedy|Music,Wesley-Jonathan,Steppin:-The-Movie-,293,1350,Chrystee-Pharris,6,?,http://www.imdb.com/title/tt0826751/?ref_=fn_tt_tt_1,1,English,USA,PG-13,1000000,2009,207,3.4,?,41,bad
Color,David-DeCoteau,1,84,142,402,Tom-Berenger,10000,?,Western,William-McNamara,Doc-Hollidays-Revenge-,93,11466,Randy-Jay-Burrell,3,1880s|cowboy|low-budget-film|shoot-out|wild-west,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,6,English,USA,PG-13,1000000,2014,854,3.8,1.78,54,bad
Color,Katie-Aselton,95,83,224,37,Anslem-Richardson,224,?,Horror|Thriller,Katie-Aselton,Black-Rock-,6531,344,Jay-Paulson,1,bare-breasts|female-frontal-nudity|hunter|island|weekend,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,47,English,USA,R,?,2012,59,4.7,1.85,0,bad
Color,Robert-Heath,40,96,0,177,Alexander-Vlahos,335,?,Horror|Mystery,David-Oakes,Truth-or-Die-,6513,1226,Jennie-Jacques,2,cabin-in-the-woods|drinking-acid|introvert|lesbian-kiss|truth-or-dare,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,41,English,UK,Not-Rated,1000000,2012,334,5.6,2.35,968,okay
Color,D.-Stevens,6,94,6,0,Pierre-Dulat,92,?,Drama|Thriller,Magi-Avila,The-Pet-,425,109,Summer-Napoles,0,dominance-submissiveness|female-nudity|human-branding|human-pet|power-exchange,http://www.imdb.com/title/tt0825728/?ref_=fn_tt_tt_1,24,English,USA,?,1000000,2006,17,3.9,?,91,bad
Color,Jeffrey-St.-Jules,16,90,0,36,Chloe-Rose,57,?,Drama|Musical|Sci-Fi,Boyd-Banks,Bang-Bang-Baby-,137,231,Kristian-Bruun,2,?,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,16,English,Canada,?,1000000,2014,40,5.4,?,48,okay
Color,Robert-Hall,39,95,53,253,Kevin-Gage,677,?,Horror,Angelina-Armani,Fear-Clinic-,6256,1825,Fiona-Dourif,0,bare-breasts|based-on-web-series|claustrophobia|doctor|phobia,http://www.imdb.com/title/tt2165765/?ref_=fn_tt_tt_1,19,English,USA,R,1000000,2015,366,5.2,2.35,936,okay
Color,K.-King,150,93,3,115,Shona-Kay,214,?,Action|Comedy|Horror,Jason-K.-Wixom,Zombie-Hunter-,2057,656,Jarrod-Phillips,2,desert|drifter|seduction|siege|zombie,http://www.imdb.com/title/tt2446502/?ref_=fn_tt_tt_1,30,English,USA,Not-Rated,1000000,2013,211,3.5,2.35,0,bad
?,Jonathan-Meyers,1,111,0,426,Luke-Perry,657,?,Drama,Justin-Baldoni,A-Fine-Step-,207,2677,Leonor-Varela,0,?,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,1,?,USA,PG,1000000,2014,608,5.3,?,212,okay
Color,Danny-Boyle,393,101,0,888,Spencer-Wilding,3000,2319187,Crime|Drama|Mystery|Thriller,Rosario-Dawson,Trance-,92640,5056,Tuppence-Middleton,0,amnesia|criminal|heist|hypnotherapy|lost-painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,212,English,UK,R,20000000,2013,1000,7.0,2.35,23000,good
Color,Ralph-Nelson,32,103,17,113,Dick-Van-Patten,754,?,Drama|Romance|Sci-Fi,Cliff-Robertson,Charly-,4998,1567,Claire-Bloom,0,disability|experiment|genius|intelligence|mouse,http://www.imdb.com/title/tt0062794/?ref_=fn_tt_tt_1,55,English,USA,PG,?,1968,605,7.1,2.35,785,good
Color,Blair-Erickson,78,87,0,302,Katia-Winter,696,?,Horror|Thriller,Monique-Candelaria,Banshee-Chapter-,6265,1618,Michael-McMillian,1,experiment|lsd|missing-friend|mk-ultra|radio-broadcast,http://www.imdb.com/title/tt2011276/?ref_=fn_tt_tt_1,56,English,Germany,R,950000,2013,371,5.5,?,2000,okay
Color,?,?,30,?,223,David-DeLuise,775,?,Comedy,Eric-Lloyd,Jesse-------------,954,1713,Bruno-Campos,8,1990s|brother-sister-relationship|female-protagonist|single-mother|sitcom,http://www.imdb.com/title/tt0156196/?ref_=fn_tt_tt_1,14,English,USA,?,?,?,275,5.9,?,57,okay
Color,Allison-Burnett,8,100,12,354,Gia-Mantegna,529,?,Drama,Kimberly-Williams-Paisley,Ask-Me-Anything-,7870,2468,Cathryn-de-Prume,1,bare-breasts|female-protagonist,http://www.imdb.com/title/tt2505294/?ref_=fn_tt_tt_1,64,English,USA,Not-Rated,950000,2014,413,6.0,?,884,okay
Color,Richard-Schenkman,6,90,29,558,Mike-Colter,1000,?,Comedy|Romance,Vanessa-Williams,And-Then-Came-Love-,443,2504,Eartha-Kitt,1,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm-donor,http://www.imdb.com/title/tt0825346/?ref_=fn_tt_tt_1,4,English,USA,?,989000,2007,569,4.8,?,42,bad
Color,Sanjay-Rawal,9,83,0,17,Robert-Kennedy-Jr.,56,?,Documentary|News,Alma-Martinez,Food-Chains-,265,104,Eve-Ensler,0,two-word-title,http://www.imdb.com/title/tt2141739/?ref_=fn_tt_tt_1,3,English,USA,?,913000,2014,28,7.1,?,489,good
